shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
70B_GateUp_4kx28kx8k	4096	28672	8192	3	3	CRR	2465.52	0.7804	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_Down_4kx8kx28k	4096	8192	28672	0	1	RCR	2950.13	0.6522	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	1	RRR	2972.51	0.6473	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	1	CRR	2656.39	0.7243	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	2	RCR	2947.00	0.6529	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	2	RRR	2970.56	0.6477	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	2	CRR	2666.37	0.7216	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	3	RCR	2951.03	0.6520	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	3	RRR	2971.44	0.6475	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	0	3	CRR	2669.34	0.7208	d18da9fb9b4273f7d982636fc36bfb2b
70B_Down_4kx8kx28k	4096	8192	28672	1	1	RCR	2933.85	0.6558	fee58d69dd131e360f6a25a35c1eccff
